[[-433.96354280488055], [84.28117666129195], [3.2084414978016866]]
[[-433.96354280488055], [83.66822264873853], [3.2084414978016866]]
[[-433.96354280488055], [83.05526863618512], [3.2084414978016866]]
[[-433.96354280488055], [82.44231462363169], [3.2084414978016866]]
[[-433.96354280488055], [81.82936061107826], [3.2084414978016866]]
[[-433.96354280488055], [81.2164065985248], [3.2084414978016866]]
[[-433.96354280488055], [80.60345258597141], [3.2084414978016866]]
[[-433.96354280488055], [79.99049857341795], [3.2084414978016866]]
[[-433.96354280488055], [79.37754456086454], [3.2084414978016866]]
[[-433.96354280488055], [78.7645905483111], [3.2084414978016866]]
[[-433.96354280488055], [78.15163653575766], [3.2084414978016866]]
[[-433.96354280488055], [77.53868252320424], [3.2084414978016866]]
[[-433.96354280488055], [76.92572851065081], [3.2084414978016866]]
[[-433.96354280488055], [76.31277449809737], [3.2084414978016866]]
[[-433.96354280488055], [75.69982048554398], [3.2084414978016866]]
[[-433.96354280488055], [75.08686647299055], [3.2084414978016866]]
[[-433.96354280488055], [74.4739124604371], [3.2084414978016866]]
[[-433.96354280488055], [73.86095844788369], [3.2084414978016866]]
[[-433.96354280488055], [73.24800443533027], [3.2084414978016866]]
[[-433.96354280488055], [72.6350504227768], [3.2084414978016866]]
[[-433.96354280488055], [72.0220964102234], [3.2084414978016866]]
[[-433.96354280488055], [71.40914239766997], [3.2084414978016866]]
[[-433.96354280488055], [70.79618838511655], [3.2084414978016866]]
[[-433.96354280488055], [70.1832343725631], [3.2084414978016866]]
[[-433.96354280488055], [69.57028036000966], [3.2084414978016866]]
[[-433.96354280488055], [68.95732634745626], [3.2084414978016866]]
[[-433.96354280488055], [68.34437233490284], [3.2084414978016866]]
[[-433.96354280488055], [67.73141832234941], [3.2084414978016866]]
[[-433.96354280488055], [67.118464309796], [3.2084414978016866]]
[[-433.96354280488055], [66.50551029724255], [3.2084414978016866]]
[[-433.96354280488055], [65.89255628468912], [3.2084414978016866]]
[[-433.96354280488055], [65.27960227213569], [3.2084414978016866]]
[[-433.96354280488055], [64.66664825958226], [3.2084414978016866]]
[[-433.96354280488055], [64.05369424702886], [3.2084414978016866]]
[[-433.96354280488055], [63.44074023447543], [3.2084414978016866]]
[[-433.96354280488055], [62.827786221922], [3.2084414978016866]]
[[-433.96354280488055], [62.21483220936856], [3.2084414978016866]]
[[-433.96354280488055], [61.601878196815136], [3.2084414978016866]]
[[-433.96354280488055], [60.9889241842617], [3.2084414978016866]]
[[-433.96354280488055], [60.375970171708296], [3.2084414978016866]]
[[-433.96354280488055], [59.763016159154816], [3.2084414978016866]]
[[-433.96354280488055], [59.15006214660142], [3.2084414978016866]]
[[-433.96354280488055], [58.53710813404798], [3.2084414978016866]]
[[-433.96354280488055], [57.92415412149456], [3.2084414978016866]]
[[-433.96354280488055], [57.311200108941144], [3.2084414978016866]]
