[[-315.1351318102987], [59.244639580756754], [217.13081892411753]]
[[-315.62327546356954], [58.80920317805601], [216.35471220327508]]
[[-315.6207101954817], [58.32931213302402], [216.3536425533946]]
[[-315.6181449776705], [57.849430493372196], [216.3525729244784]]
[[-315.6155798101346], [57.36955825882406], [216.35150331652562]]
[[-315.6130146928723], [56.8896954291031], [216.35043372953555]]
[[-382.2652570124017], [294.8898184012113], [80.00094295110205]]
[[-380.9586740653639], [293.7027287275363], [82.10437528602222]]
[[-380.305658831219], [292.8274830227106], [83.15274092135292]]
[[-380.3018979970265], [292.2601721635476], [83.15298384237497]]
[[-379.65033747643275], [291.3874974982561], [84.19902045002948]]
[[-379.6465883602641], [290.8208365002525], [84.19925109433086]]
[[-379.6428393301328], [290.25418850639454], [84.19948173333933]]
[[-379.6390903860362], [289.68755351623486], [84.19971236705487]]
[[-379.6353415279709], [289.1209315293255], [84.19994299547784]]
[[-379.6315927559341], [288.5543225452189], [84.20017361860846]]
[[-379.6278440699229], [287.9877265634677], [84.20040423644684]]
[[-379.62409546993433], [287.4211435836242], [84.20063484899299]]
[[-379.6203469559655], [286.8545736052408], [84.20086545624736]]
[[-379.61659852801336], [286.28801662787015], [84.20109605820971]]
[[-379.6128501860749], [285.7214726510646], [84.20132665488086]]
[[-379.60910193014723], [285.15494167437686], [84.20155724626056]]
[[-379.6053537602274], [284.58842369735913], [84.20178783234928]]
[[-379.6016056763122], [284.02191871956455], [84.20201841314667]]
[[-379.59785767839924], [283.4554267405451], [84.20224898865342]]
[[-379.5941097664851], [282.88894775985375], [84.20247955886953]]
[[-379.5903619405668], [282.32248177704304], [84.20271012379521]]
[[-379.5866142006417], [281.7560287916657], [84.20294068343071]]
[[-379.58286654670644], [281.18958880327426], [84.2031712377759]]
[[-379.57911897875846], [280.62316181142154], [84.20340178683148]]
[[-379.5753714967945], [280.0567478156602], [84.2036323305972]]
[[-379.57162410081173], [279.4903468155429], [84.2038628690733]]
[[-379.5678767908073], [278.92395881062237], [84.20409340226024]]
[[-379.5641295667781], [278.3575838004516], [84.2043239301579]]
[[-379.56038242872097], [277.7912217845832], [84.20455445276662]]
[[-379.55663537663355], [277.22487276256993], [84.2047849700864]]
